distance,time
0.00,3.934225082397461
0.00,5.238299608230591
0.00,6.543374300003052
0.00,7.847448825836182
0.00,9.15152359008789
0.00,10.45559811592102
0.00,11.759672403335571
0.00,13.06374716758728
0.00,14.36782169342041
0.00,15.67189645767212
0.00,16.976970911026
0.00,18.28004550933838
0.00,19.58512020111084
0.00,20.88919496536255
0.00,22.19326949119568
0.00,23.49734401702881
0.00,24.801418781280518
0.00,26.10549306869507
0.00,27.4095675945282
0.00,28.713642358779907
0.00,30.018717050552368
0.00,31.322791576385498
0.00,32.625866174697876
0.00,33.929940700531006
0.00,35.234015464782715
0.00,36.5390899181366
0.00,37.843164682388306
0.00,39.147239208221436
0.00,40.451313972473145
0.00,41.755388259887695
0.00,43.060462951660156
0.00,44.364537477493286
0.00,45.668612003326416
0.00,46.972686767578125
0.00,48.276761293411255
0.00,49.580836057662964
0.00,50.884910583496094
0.00,52.188985109329224
0.00,53.49305963516235
0.00,54.79713416099548
0.00,56.10120868682861
0.00,57.406283378601074
0.00,58.710357904434204
0.00,60.01443266868591
0.00,61.31850719451904
0.00,62.62258195877075
0.00,63.92665648460388
0.00,65.23073101043701
0.00,66.53480577468872
0.00,67.83888030052185
0.00,69.1429545879364
0.00,70.44802927970886
0.00,71.75110387802124
0.00,73.0561785697937
0.00,74.36025309562683
0.00,75.66432762145996
0.00,76.96840238571167
0.00,78.2724769115448
0.00,79.57655167579651
0.00,80.88062620162964
0.00,82.18470096588135
0.00,83.4887752532959
