distance,time
3.59,3.2154176235198975
3.59,3.8272440433502197
3.64,4.424965143203735
4.03,5.022560119628906
3.59,5.631676912307739
3.59,6.227027893066406
3.59,6.837445497512817
3.59,7.422027349472046
4.39,8.043475151062012
6.43,8.6376314163208
5.76,9.24885892868042
6.22,9.833551406860352
6.53,10.442973136901855
10.76,11.039625406265259
6.94,11.664015531539917
7.99,12.244672536849976
8.02,12.847352743148804
9.20,13.441674709320068
9.04,14.051808834075928
10.86,14.64073657989502
12.63,15.266499519348145
13.48,15.85385799407959
13.53,16.46259641647339
15.35,17.047783851623535
14.94,17.672784566879272
15.69,18.253766298294067
16.90,18.864368200302124
75.41,19.651492834091187
16.69,20.263020277023315
100.22,21.06093978881836
16.20,21.670823574066162
15.74,22.265419721603394
13.07,22.876362800598145
11.31,23.500312089920044
9.10,24.06756329536438
8.08,24.673712253570557
7.74,25.274943828582764
6.78,25.885886907577515
6.82,26.479593992233276
6.53,27.07563328742981
6.68,27.684752464294434
5.36,28.311434984207153
5.97,28.875950813293457
4.25,29.50521683692932
4.59,30.085875749588013
4.59,30.69528865814209
4.69,31.29039454460144
4.59,31.917311906814575
4.13,32.486905574798584
12.10,33.08368682861328
109.26,33.910279989242554
4.44,34.492345333099365
4.90,35.11488914489746
-483.16,35.74230980873108
