distance,time
243.24,2.851163148880005
226.58,3.068175792694092
225.42,3.2851881980895996
227.48,3.5012004375457764
225.86,3.717212677001953
225.39,3.93422532081604
225.88,4.151237487792969
224.62,4.367249965667725
224.94,4.582262277603149
223.81,4.798274755477905
224.62,5.025287628173828
225.76,5.253300666809082
225.91,5.463312864303589
228.40,5.706326723098755
225.49,5.890337228775024
19.11,6.086348295211792
12.48,6.301360607147217
224.72,6.524373292922974
12.33,6.74738621711731
264.79,6.953397989273071
13.38,7.175410509109497
265.25,7.39642333984375
14.54,7.552432298660278
243.03,7.770444631576538
17.05,7.973456144332886
17.05,8.177468061447144
18.51,8.381479501724243
9.81,8.629493951797485
9.81,8.852506399154663
10.27,9.076519250869751
9.83,9.193526029586792
8.06,9.396537780761719
9.01,9.599549293518066
9.01,9.82756233215332
9.83,10.015573024749756
10.68,10.233585596084595
10.61,10.453598022460938
9.72,10.617607593536377
10.17,10.823619365692139
13.04,11.024630784988403
237.42,11.242643356323242
235.98,11.484657049179077
13.24,11.67166781425476
7.65,11.86967921257019
6.85,12.098692178726196
6.04,12.308704137802124
7.16,12.473713636398315
7.57,12.682725429534912
5.70,12.90073823928833
5.95,13.116750478744507
6.00,13.324762344360352
8.26,13.533774137496948
7.06,13.732785701751709
5.87,13.89679503440857
5.17,14.099806547164917
5.03,14.301818132400513
4.88,14.50482988357544
4.64,14.715842008590698
4.88,14.950855255126953
4.57,15.1468665599823
4.98,15.316876411437988
4.56,15.519887924194336
4.83,15.738900423049927
5.75,15.953912734985352
9.27,16.17892575263977
6.36,16.364936351776123
9.93,16.605950117111206
11.27,16.741957664489746
13.28,16.944969415664673
15.84,17.14798092842102
13.43,17.3519926071167
13.99,17.55700445175171
14.79,17.779016971588135
14.28,17.99502944946289
17.20,18.238043308258057
32.39,18.372051000595093
242.69,18.59006357192993
245.58,18.80807590484619
241.42,19.024088382720947
225.68,19.241100549697876
241.06,19.458113193511963
33.64,19.66212487220764
243.13,19.88013744354248
31.23,20.116150856018066
19.16,20.340163707733154
244.68,20.525174140930176
17.05,20.74718689918518
18.31,20.967199325561523
242.28,21.19821262359619
19.62,21.378222942352295
236.59,21.62023687362671
193.41,21.827248573303223
18.62,21.971256971359253
17.20,22.1742684841156
15.50,22.46728515625
229.04,22.601292848587036
224.06,22.841306686401367
225.81,23.046318531036377
244.00,23.272331476211548
138.86,23.664353609085083
8.87,23.88836646080017
193.15,24.102378845214844
212.60,24.315390825271606
209.00,24.574405670166016
224.84,24.779417514801025
113.05,25.010430812835693
121.70,25.142438173294067
126.07,25.351450204849243
10.63,25.563462257385254
8.57,25.777474403381348
9.52,25.97148561477661
9.81,26.20849919319153
10.22,26.436512231826782
9.62,26.635523557662964
9.86,26.772531270980835
10.12,26.976543188095093
11.32,27.195555448532104
11.71,27.435569286346436
13.18,27.683583736419678
13.04,27.88159465789795
13.79,28.043604135513306
15.64,28.198612928390503
16.03,28.40262460708618
16.29,28.60563635826111
17.15,28.81064796447754
17.75,29.045661211013794
18.45,29.257673501968384
18.90,29.477686166763306
20.11,29.67269730567932
19.52,29.82870626449585
20.47,30.03271794319153
20.47,30.26573133468628
20.93,30.451741933822632
22.58,30.65475344657898
23.34,30.870765924453735
23.44,31.100778818130493
23.95,31.258787870407104
23.41,31.462799787521362
22.95,31.66581130027771
23.09,31.86982297897339
24.00,32.12983798980713
23.70,32.31684851646423
24.39,32.563862562179565
25.81,32.74487280845642
25.55,32.892881631851196
24.55,33.095893144607544
25.86,33.32290601730347
26.21,33.53191804885864
28.53,33.74693036079407
28.32,33.9449417591095
25.52,34.15295338630676
26.50,34.32296323776245
29.75,34.52697491645813
23.99,34.73798704147339
29.07,34.93599843978882
24.58,35.15701079368591
21.47,35.385024070739746
21.17,35.59403586387634
21.06,35.79104733467102
18.39,35.957056760787964
16.98,36.16006827354431
15.49,36.36407995223999
15.18,36.58209252357483
12.58,36.790104389190674
11.17,37.01411724090576
10.37,37.247130393981934
8.01,37.426140785217285
6.56,37.58414959907532
6.14,37.78616118431091
5.13,37.98917293548584
4.42,38.20918536186218
3.72,38.443198919296265
3.62,38.65021061897278
4.54,38.85022211074829
120.96,39.21324300765991
6.10,39.41425442695618
125.95,39.86028003692627
2.57,40.04929065704346
5.64,40.3093056678772
6.80,40.43431282043457
9.06,40.63632416725159
10.73,40.8413360118866
11.24,41.04934787750244
9.67,41.251359701156616
9.62,41.47837257385254
7.62,41.687384366989136
6.95,41.87539529800415
6.56,42.05940580368042
6.21,42.26841759681702
6.56,42.486430168151855
6.51,42.70244264602661
7.41,42.88045263290405
5.49,43.10446548461914
4.49,43.32247805595398
3.77,43.48148703575134
3.67,43.68449878692627
3.88,43.8945107460022
5.56,44.11552357673645
4.68,44.323535203933716
5.61,44.5225465297699
9.78,44.79256200790405
9.06,44.903568506240845
123.98,45.31459188461304
2.41,45.5156033039093
5.34,45.72061514854431
7.26,45.967629194259644
11.24,46.1836416721344
12.27,46.330650091171265
13.99,46.53366160392761
14.54,46.73767328262329
14.40,46.95568585395813
260.00,47.169697999954224
137.05,47.6227240562439
55.01,47.825735569000244
23.90,48.051748514175415
20.50,48.18575596809387
4.74,48.386767864227295
10.73,48.60177993774414
6.95,48.8077917098999
7.57,49.03780484199524
4.44,49.240816593170166
132.31,49.68584203720093
6.90,49.812849283218384
123.91,50.236873388290405
2.72,50.44988560676575
5.54,50.63489627838135
4.88,50.89491105079651
4.18,51.07992148399353
3.67,51.23793053627014
4.27,51.44094228744507
5.44,51.664955139160156
22.36,51.89096784591675
19.52,52.06197762489319
16.64,52.28799057006836
15.50,52.53700494766235
15.84,52.66501235961914
16.35,52.86802387237549
15.79,53.072035789489746
15.95,53.276047229766846
16.10,53.47905874252319
15.25,53.706071853637695
14.14,53.952085971832275
14.20,54.15309739112854
13.38,54.29510569572449
13.84,54.497117042541504
13.48,54.709129333496094
13.99,54.90514039993286
12.68,55.11515259742737
11.78,55.331164836883545
11.37,55.557177782058716
11.54,55.720186948776245
10.78,55.92319893836975
10.37,56.1262104511261
10.06,56.34622287750244
9.67,56.559234857559204
8.93,56.75324606895447
8.81,56.97325873374939
8.01,57.18527102470398
7.26,57.34428000450134
6.75,57.557292222976685
6.41,57.763303995132446
6.26,57.95631504058838
6.00,58.17032718658447
5.34,58.41434121131897
5.54,58.616352558135986
5.19,58.7673614025116
6.66,58.96937298774719
7.70,59.17238473892212
9.72,59.38239645957947
11.34,59.62341022491455
13.48,59.85042333602905
15.10,60.063435554504395
15.74,60.1914427280426
12.38,60.39445447921753
14.25,60.59846615791321
246.69,60.8174786567688
210.10,61.067492961883545
228.55,61.24950337409973
244.51,61.47951650619507
243.59,61.69452881813049
243.32,61.91254138946533
243.75,62.14855456352234
211.99,62.357566833496094
242.54,62.590580224990845
211.57,62.80059194564819
213.11,63.00360369682312
212.42,63.23661708831787
243.22,63.46563005447388
213.71,63.66564154624939
211.17,63.90265512466431
220.51,64.0996663570404
211.67,64.28767704963684
214.80,64.50968980789185
242.57,64.72370219230652
211.29,64.94571495056152
212.36,65.16772747039795
242.52,65.38073968887329
213.67,65.63975429534912
214.17,65.87976813316345
221.53,66.0337769985199
211.31,66.2557897567749
214.80,66.50080370903015
211.77,66.71581602096558
240.87,66.95082950592041
242.18,67.15684127807617
242.22,67.3568525314331
221.90,67.56286454200745
240.53,67.76387596130371
242.20,68.00388956069946
212.94,68.21890187263489
240.96,68.43991470336914
240.57,68.65392684936523
241.01,68.825936794281
241.33,69.04394912719727
240.58,69.26096153259277
241.84,69.47897410392761
241.84,69.69598650932312
240.16,69.91399908065796
240.53,70.13001132011414
211.00,70.34702372550964
241.43,70.56303596496582
240.62,70.78104853630066
240.64,70.99806094169617
240.64,71.21507334709167
243.13,71.43308591842651
240.62,71.65009832382202
240.18,71.86911058425903
242.18,72.08612322807312
228.29,72.30113554000854
240.19,72.51814770698547
240.62,72.73616051673889
242.30,72.95317268371582
