distance,time
114.34,3.6090939044952393
98.53,4.5391294956207275
6.58,5.299829006195068
131.00,6.042809009552002
5.20,6.799628973007202
4.08,7.541592359542847
4.85,8.292706966400146
5.10,9.066190958023071
3.74,9.818468570709229
3.33,10.544983863830566
4.30,11.297505378723145
5.97,12.05216097831726
8.30,12.819677352905273
10.06,13.571738719940186
10.51,14.298752784729004
87.24,15.252682447433472
12.41,16.00727915763855
13.18,16.770178079605103
15.69,17.523709535598755
15.30,18.265782117843628
16.05,19.015916347503662
15.84,19.77364492416382
18.43,20.525752782821655
19.06,21.277268409729004
15.54,22.017744779586792
105.83,22.98776388168335
104.09,23.92646098136902
17.15,24.68533730506897
120.72,25.640243768692017
19.02,26.4081768989563
14.59,27.158215761184692
4.54,27.895596027374268
5.24,28.64749813079834
5.51,29.39888024330139
5.24,30.148521184921265
6.77,30.89958143234253
5.92,31.64706826210022
5.71,32.416797399520874
5.36,33.151127099990845
4.74,33.9036169052124
5.25,34.65521311759949
5.15,35.406874895095825
5.56,36.16252851486206
5.47,36.905200242996216
5.68,37.65700125694275
6.02,38.40966725349426
5.39,39.159276247024536
5.46,39.911208152770996
5.00,40.678086042404175
8.14,41.41407322883606
12.72,42.16439151763916
13.02,42.91581344604492
16.20,43.66703939437866
110.28,44.62217712402344
11.22,45.37382960319519
11.12,46.12380385398865
8.99,46.87658429145813
8.45,47.61894965171814
115.06,48.62034821510315
76.04,49.54261589050293
99.23,50.497249126434326
