distance,time
3.74,3.2284562587738037
3.23,3.8271448612213135
2.92,4.422277927398682
2.77,5.017968416213989
3.54,5.633305549621582
3.33,6.217914819717407
3.69,6.842306613922119
3.28,7.4227588176727295
5.05,8.045561790466309
6.36,8.630552530288696
6.65,9.241568088531494
6.41,9.825366497039795
7.77,10.440800428390503
8.52,11.029865026473999
9.47,11.64546513557434
10.59,12.22990083694458
10.08,12.83919072151184
12.90,13.43424105644226
11.93,14.06148386001587
103.07,14.850893259048462
11.88,15.439021348953247
14.65,16.05632734298706
12.51,16.65055227279663
13.60,17.265676498413086
128.01,18.051502466201782
12.39,18.666465997695923
12.60,19.26220154762268
12.34,19.856536626815796
13.80,20.470775842666626
14.77,21.068300485610962
14.98,21.67763042449951
14.55,22.273355722427368
15.42,22.88325834274292
14.82,23.477662086486816
13.46,24.079500198364258
13.52,24.6734836101532
13.41,25.285146951675415
13.91,25.885159492492676
13.26,26.494585752487183
15.27,27.075586557388306
15.98,27.721721649169922
16.68,28.287231922149658
19.86,28.903045415878296
6.87,29.481133937835693
6.82,30.09212899208069
5.30,30.690480709075928
112.74,31.489307641983032
68.66,32.11501407623291
32.39,32.69812726974487
30.02,33.308464765548706
29.32,33.911052942276
17.49,34.50424265861511
13.80,35.11583685874939
11.78,35.715850830078125
13.14,36.315696477890015
11.14,36.92929530143738
14.11,37.5233097076416
8.01,38.13394021987915
4.90,38.71265888214111
4.64,39.33840608596802
8.16,39.91850161552429
9.16,40.54633641242981
8.62,41.127140283584595
4.69,41.739654779434204
5.00,42.32565259933472
6.65,42.937111139297485
22.07,43.52156472206116
6.15,44.13557291030884
5.00,44.744433879852295
13.57,45.32558250427246
-480.01,45.972896099090576
-483.23,46.61349177360535
-484.45,47.271376609802246
-480.32,47.88262915611267
105.43,48.691654205322266
65.18,49.28790473937988
111.04,50.10705089569092
4.39,50.706493854522705
6.21,51.30207896232605
37.89,51.91256856918335
-482.44,52.553245067596436
129.61,53.3514940738678
96.42,53.9625780582428
-482.26,54.60322618484497
-481.95,55.229170083999634
109.24,56.03378486633301
91.78,56.64259672164917
-481.53,57.30544853210449
-483.55,57.91739201545715
105.38,58.74533200263977
97.19,59.52891564369202
-481.00,60.176286935806274
-483.07,60.82293391227722
-480.64,61.4508273601532
-480.52,62.07779550552368
100.16,62.90704107284546
85.99,63.485193967819214
-483.43,64.1271460056305
-479.76,64.7730324268341
-482.15,65.40578889846802
120.68,66.2087779045105
-482.27,66.86501669883728
-479.23,67.50798058509827
-483.48,68.14191699028015
115.63,68.92498254776001
-482.68,69.58122658729553
-483.46,70.22384881973267
-464.27,70.85582685470581
116.94,71.68463730812073
78.39,72.4515221118927
84.13,73.0779025554657
-480.52,73.70289635658264
99.35,74.50195670127869
93.65,75.1286928653717
99.28,75.924476146698
121.50,76.72647380828857
116.60,77.52571296691895
100.10,78.13606524467468
91.43,78.93314623832703
87.92,79.55818700790405
84.25,80.34077405929565
-484.36,80.98999619483948
-481.32,81.61911153793335
110.65,82.42976546287537
62.73,83.04749393463135
-485.08,83.67249464988708
-483.94,84.31578707695007
-481.41,84.94252133369446
-481.00,85.59169912338257
119.78,86.39861679077148
-481.44,87.03150939941406
-480.93,87.68445229530334
-483.50,88.32859015464783
-483.41,88.93929672241211
-481.90,89.5805504322052
104.09,90.39966654777527
-481.39,91.03411889076233
-483.40,91.67427825927734
-483.50,92.31619811058044
108.43,93.11448740959167
-480.93,93.73942947387695
-482.73,94.3970091342926
-480.52,95.02487325668335
108.73,95.84256076812744
102.65,96.43819570541382
122.42,97.23783326148987
90.42,97.8520929813385
-482.19,98.49470591545105
-483.43,99.12876200675964
-484.36,99.75413370132446
-480.49,100.4053909778595
115.36,101.20218920707703
89.06,101.82698655128479
108.56,102.61338305473328
-482.27,103.25507259368896
-482.68,103.88830637931824
53.35,104.49402165412903
-481.37,105.13792061805725
-479.76,105.77229237556458
-483.46,106.41513228416443
-478.92,107.04548263549805
-479.26,107.70309734344482
-482.65,108.33054566383362
99.50,109.14486241340637
121.47,109.94412922859192
134.32,110.74756598472595
-481.90,111.38380002975464
132.06,112.18238043785095
88.71,112.79112219810486
106.83,113.58931589126587
93.40,114.21702027320862
-482.66,114.85764527320862
93.69,115.65139293670654
92.80,116.24830889701843
-484.33,116.90574955940247
128.03,117.70261931419373
111.18,118.50749444961548
-482.29,119.13315272331238
-483.21,119.77943825721741
106.91,120.57824182510376
118.34,121.38457751274109
-480.98,122.02798223495483
-481.95,122.66828870773315
87.92,123.4734034538269
99.25,124.2875497341156
125.07,125.07086181640625
130.68,125.89044857025146
-482.32,126.51682877540588
-483.04,127.15961122512817
-484.42,127.81586003303528
84.29,128.59959483146667
-483.14,129.24542593955994
108.02,130.04708075523376
101.35,130.85459232330322
81.91,131.45089530944824
92.58,132.25611233711243
103.77,133.08539199829102
104.72,133.6642005443573
61.01,134.28190231323242
61.91,134.88312125205994
65.84,135.47718596458435
112.12,136.2979006767273
17.17,136.89476037025452
21.78,137.50824356079102
18.09,138.08892631530762
21.27,138.7024610042572
59.81,139.2990436553955
105.69,140.1114387512207
27.05,140.72389817237854
101.98,141.5139615535736
60.40,142.11024594306946
-482.05,142.76344799995422
103.60,143.56199979782104
-483.84,144.20584058761597
-481.32,144.86610651016235
-482.51,145.4775288105011
-481.78,146.1159679889679
-481.68,146.74669098854065
-481.78,147.40689635276794
122.43,148.19987416267395
126.85,149.00188755989075
105.57,149.82085275650024
-480.62,150.4516167640686
109.53,151.25949358940125
113.71,152.05762672424316
113.27,152.87483406066895
135.81,153.67301774024963
108.92,154.47810578346252
-481.75,155.11081457138062
-482.60,155.75599789619446
