distance,time
8.01,3.2414474487304688
7.28,3.842658281326294
6.38,4.420776844024658
5.25,5.031672477722168
4.54,5.625467538833618
4.59,6.228116512298584
5.19,6.838382959365845
4.44,7.432081699371338
6.17,8.028047800064087
10.00,8.628011703491211
9.89,9.254252910614014
10.51,9.838002443313599
10.29,10.431978225708008
12.41,11.04468297958374
14.69,11.673763036727905
16.13,12.238151788711548
17.99,12.850275754928589
19.57,13.443659782409668
19.23,14.060895681381226
20.33,14.654894590377808
23.21,15.255067825317383
21.83,15.867830276489258
21.93,16.45460081100464
106.18,17.263144493103027
21.08,17.85881018638611
19.87,18.467546939849854
18.16,19.062960386276245
-485.03,19.71106791496277
119.85,20.50845456123352
-484.36,21.15505361557007
-481.90,21.7956645488739
125.17,22.61825966835022
-482.22,23.240697145462036
-484.98,23.875280618667603
-483.63,24.522447109222412
